company_name,job_title,location,salaries,description
Nintendo of America Inc.,CONTRACT - Data Scientist (NTD),"Redmond, WA",,"Experience with statistical analysis and algorithm development, data mining, and machine learning. This role focuses on developing algorithms and data pipelines..."
"BioFire Diagnostics, LLC.",Associate Data Scientist I/II,"Salt Lake City, UT",,"Knowledge of basic statistics, data visualization techniques, databases (SQL), and machine learning. The candidate's primary responsibility will be to provide..."
Zensar Technologies,Data Scientist,"Austin, TX",,"Data Scientist - (0039138). Understanding of data structures, data modeling and software architecture. Proven experience as a Machine Learning Engineer or..."
New York City Housing Authority (NYCHA),Data Intern,"New York, NY",$15 an hour,The data scientist intern will work side-by-side with the Data Scientist to organize and analyze available information to create value for end users....
Infinitive Inc,Data Scientist,"Ashburn, VA",,Managing disparate data sources with varying data structures of content and preparing these for data science and machine learning applications....
FAAZ Consulting,Data Scientist,"Alexandria, VA",,Looking a data scientist to look at data (15 million records). RBS collects data for audits. Develop reports to drill down on trends. 3 - 4 months....
"People, Technology & Processes",Mid-Level Data Scientist,"Washington, DC",,"Mid-Level Data Scientist. The data scientist work includes the design, modification, and/or use of scientific computing, programming, and mathematics...."
Milwaukee Electric Tool Corporation,Data Scientist/Analyst,"Brookfield, WI",,The candidate hired for this role will play a critical role in shaping our data analytics environment and help define how data can be leveraged to optimize...
Logistics Management Institute,Junior Data Scientist,"Tysons, VA",,"Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics;..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA",,"Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC",,"Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
Decision Sciences,Data Scientist,"Poway, CA",,"Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
Verizon,Data Scientist,"Ashburn, VA",,"Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Urner Barry,Junior Data Scientist,"Toms River, NJ",,"Data mining using state-of-the-art methods. Enhancing data collection procedures. Health, Optical, Dental, Orthodontic Insurance, 401k, Profit Sharing...."
Indeed Prime,Data Scientist,"Atlanta, GA","$80,000 - $130,000 a year",Data Scientist requirements. 4+ years of experience in Data Science/ Big Data Analytics / Data Engineering. Data Scientist duties and responsibilities....
CoStar Group,Data Scientist,"Atlanta, GA","$74,000 - $109,000 a year (Indeed est.)","As a Data Scientist on our analytics and data science team, you will leverage your deep experience in data analysis and data mining to drive significant traffic..."
Hubbell Incorporated,Data Scientist,"Avon, CT","$89,000 - $132,000 a year (Indeed est.)",We are seeking individuals with data science and/or machine learning experience to join our Advanced Research and Development (ARD) team....
FourthWall Media,Data Scientist,"Sterling, VA","$75,000 - $111,000 a year (Indeed est.)","This vital role works closely with data scientists and developers to discover insights within massive demographic, TV viewing, and advertising datasets and..."
"Shaw Industries Group, Inc.",Samples Data Scientist,"Dalton, GA","$70,000 - $103,000 a year (Indeed est.)","The Samples Data Scientist is responsible for modeling complex business problems and discovering business insights through the use of statistical, algorithmic,..."
Autodesk,Data Scientist,"San Francisco, CA","$109,000 - $161,000 a year (Indeed est.)","Collaborate with Project Manager on tasks related to the planning, scheduling and coordination of project activities...."
AlphaSense,Data Scientist Engineer Intern,"New York, NY","$112,000 - $165,000 a year (Indeed est.)",We are seeking a brilliant candidate with a passion for deep learning that can learn fast and apply the latest innovations in AI and NLP to the world's most...
Zensar Technologies,Data Scientist,"Austin, TX","$108,000 - $159,000 a year (Indeed est.)","Data Scientist - (0039138). Understanding of data structures, data modeling and software architecture. Proven experience as a Machine Learning Engineer or..."
infolob,Need 10 AWS Machine Learning Engineers,"Herndon, VA",$70 - $75 an hour,Experience working with Amazon Machine Learning on AWS (ideally with AWS Certified Machine Learning Specialty certification)....
MatchP Solutions,Data Scientist,"Doral, FL",$50 - $70 an hour,"(e.g., Data Mining and Processing, Building Analytic Systems driving business insights, etc.). Data science toolkits, such as R, NumPy, MatLab, Tensorflow, etc...."
Okaya Inc,Data Scientist,"Bradenton, FL","$102,000 - $150,000 a year (Indeed est.)","5+ years’ practical experience with SAS, ETL, data processing, database programming and data analytics. Experience with Data visualization - Tableau...."
MCR LLC,Data Scientist,"Norfolk, VA","$102,000 - $150,000 a year (Indeed est.)",Four years (within the last seven years) experience conducting predictive analytics using data science (big data) and providing advice on relevant issues in the...
"PRA Group, Inc.",Data Scientist,"Norfolk, VA","$91,000 - $135,000 a year (Indeed est.)","Ensure data integrity by leveraging proven methodologies, including data reconciliation, data integration and data audits...."
Decision Sciences,Data Scientist,"Poway, CA","$100,000 - $147,000 a year (Indeed est.)","Data mining using state-of-the-art methods. To design and develop machine learning capabilities and tools for complex, volumetric datasets, enabling customer..."
